Student,Python,SQL,Power BI,AI,Attendance
Alice,85.0,78.0,92.0,88.0,95.0
Bob,72.0,81.0,70.0,75.0,89.0
Charlie,90.0,85.0,87.0,93.0,98.0
David,65.0,70.0,68.0,72.0,85.0
Emma,88.0,90.0,91.0,89.0,97.0
Frank,75.0,74.0,79.0,80.0,91.0
Grace,92.0,95.0,94.0,96.0,99.0
Henry,68.0,72.0,75.0,70.0,87.0
Ivy,84.0,80.0,86.0,85.0,94.0
Jack,78.0,76.0,82.0,81.0,90.0
Kevin,91.0,88.0,90.0,92.0,96.0
Laura,83.0,79.0,85.0,84.0,93.0
Michael,0.0,82.0,80.0,78.0,88.0
Nancy,87.0,,89.0,91.0,95.0
Oliver,76.0,73.0,,77.0,90.0
Peter,69.0,71.0,74.0,0.0,86.0
Queen,94.0,96.0,95.0,98.0,100.0
Ryan,81.0,84.0,83.0,,92.0
Sophia,89.0,91.0,93.0,90.0,
Thomas,74.0,69.0,72.0,75.0,84.0
Uma,,77.0,81.0,80.0,89.0
Victor,86.0,83.0,88.0,87.0,94.0
William,79.0,0.0,76.0,78.0,91.0
Xavier,93.0,94.0,97.0,95.0,98.0
Zara,82.0,85.0,84.0,86.0,0.0
